ccg_code,ccg_name,cancer_type,total_treated,within_standard,braches,performance,standard,period
14Y,NHS BUCKINGHAMSHIRE CCG,ALL SUSPECTED CANCER,1885,1793,92,0.951193633952255,ALL CANCERS TWO WEEK WAIT,2020-10-01
00V,NHS BURY CCG,ALL SUSPECTED CANCER,702,639,63,0.91025641025641,ALL CANCERS TWO WEEK WAIT,2020-10-01
02T,NHS CALDERDALE CCG,ALL SUSPECTED CANCER,772,762,10,0.987046632124352,ALL CANCERS TWO WEEK WAIT,2020-10-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,ALL SUSPECTED CANCER,2916,2662,254,0.912894375857339,ALL CANCERS TWO WEEK WAIT,2020-10-01
04Y,NHS CANNOCK CHASE CCG,ALL SUSPECTED CANCER,504,473,31,0.938492063492063,ALL CANCERS TWO WEEK WAIT,2020-10-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,ALL SUSPECTED CANCER,738,674,64,,ALL CANCERS TWO WEEK WAIT,2020-10-01
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,ALL SUSPECTED CANCER,542,508,34,0.937269372693727,ALL CANCERS TWO WEEK WAIT,2020-10-01
27D,NHS CHESHIRE CCG,ALL SUSPECTED CANCER,2956,2669,287,0.902909336941813,ALL CANCERS TWO WEEK WAIT,2020-10-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,ALL SUSPECTED CANCER,639,577,62,0.902973395931142,ALL CANCERS TWO WEEK WAIT,2020-10-01
07T,NHS CITY AND HACKNEY CCG,ALL SUSPECTED CANCER,691,659,32,0.953690303907381,ALL CANCERS TWO WEEK WAIT,2020-10-01
84H,NHS COUNTY DURHAM CCG,ALL SUSPECTED CANCER,1925,1518,407,0.788571428571429,ALL CANCERS TWO WEEK WAIT,2020-10-01
05A,NHS COVENTRY AND RUGBY CCG,ALL SUSPECTED CANCER,1857,1721,136,0.926763597199785,ALL CANCERS TWO WEEK WAIT,2020-10-01
15M,NHS DERBY AND DERBYSHIRE CCG,ALL SUSPECTED CANCER,3437,3096,341,0.900785568810009,ALL CANCERS TWO WEEK WAIT,2020-10-01
15N,NHS DEVON CCG,ALL SUSPECTED CANCER,5342,4170,1172,0.780606514414077,ALL CANCERS TWO WEEK WAIT,2020-10-01
02X,NHS DONCASTER CCG,ALL SUSPECTED CANCER,1008,922,86,,ALL CANCERS TWO WEEK WAIT,2020-10-01
11J,NHS DORSET CCG,ALL SUSPECTED CANCER,3097,2329,768,,ALL CANCERS TWO WEEK WAIT,2020-10-01
05C,NHS DUDLEY CCG,ALL SUSPECTED CANCER,1214,835,379,0.687808896210873,ALL CANCERS TWO WEEK WAIT,2020-10-01
07W,NHS EALING CCG,ALL SUSPECTED CANCER,1240,1188,52,0.958064516129032,ALL CANCERS TWO WEEK WAIT,2020-10-01
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,ALL SUSPECTED CANCER,1995,1832,163,0.918295739348371,ALL CANCERS TWO WEEK WAIT,2020-10-01
15D,NHS EAST BERKSHIRE CCG,ALL SUSPECTED CANCER,1319,1130,189,0.856709628506444,ALL CANCERS TWO WEEK WAIT,2020-10-01
01A,NHS EAST LANCASHIRE CCG,ALL SUSPECTED CANCER,1193,1133,60,,ALL CANCERS TWO WEEK WAIT,2020-10-01
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,ALL SUSPECTED CANCER,1196,1099,97,0.918896321070234,ALL CANCERS TWO WEEK WAIT,2020-10-01
02Y,NHS EAST RIDING OF YORKSHIRE CCG,ALL SUSPECTED CANCER,1059,887,172,0.837582625118036,ALL CANCERS TWO WEEK WAIT,2020-10-01
05D,NHS EAST STAFFORDSHIRE CCG,ALL SUSPECTED CANCER,431,402,29,0.932714617169374,ALL CANCERS TWO WEEK WAIT,2020-10-01
97R,NHS EAST SUSSEX CCG,ALL SUSPECTED CANCER,2541,2479,62,0.975600157418339,ALL CANCERS TWO WEEK WAIT,2020-10-01
10K,NHS FAREHAM AND GOSPORT CCG,ALL SUSPECTED CANCER,648,622,26,0.959876543209877,ALL CANCERS TWO WEEK WAIT,2020-10-01
02M,NHS FYLDE AND WYRE CCG,ALL SUSPECTED CANCER,815,749,66,0.919018404907975,ALL CANCERS TWO WEEK WAIT,2020-10-01
11M,NHS GLOUCESTERSHIRE CCG,ALL SUSPECTED CANCER,2167,2075,92,0.957544993077988,ALL CANCERS TWO WEEK WAIT,2020-10-01
03A,NHS GREATER HUDDERSFIELD CCG,ALL SUSPECTED CANCER,738,732,6,0.991869918699187,ALL CANCERS TWO WEEK WAIT,2020-10-01
01E,NHS GREATER PRESTON CCG,ALL SUSPECTED CANCER,824,714,110,0.866504854368932,ALL CANCERS TWO WEEK WAIT,2020-10-01
01F,NHS HALTON CCG,ALL SUSPECTED CANCER,554,517,37,0.933212996389892,ALL CANCERS TWO WEEK WAIT,2020-10-01
08C,NHS HAMMERSMITH AND FULHAM CCG,ALL SUSPECTED CANCER,986,927,59,0.940162271805274,ALL CANCERS TWO WEEK WAIT,2020-10-01
08E,NHS HARROW CCG,ALL SUSPECTED CANCER,1033,986,47,0.954501452081317,ALL CANCERS TWO WEEK WAIT,2020-10-01
08F,NHS HAVERING CCG,ALL SUSPECTED CANCER,1047,1022,25,0.976122254059217,ALL CANCERS TWO WEEK WAIT,2020-10-01
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,ALL SUSPECTED CANCER,2678,2107,571,0.786781179985063,ALL CANCERS TWO WEEK WAIT,2020-10-01
06N,NHS HERTS VALLEYS CCG,ALL SUSPECTED CANCER,2168,2040,128,0.940959409594096,ALL CANCERS TWO WEEK WAIT,2020-10-01
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",ALL SUSPECTED CANCER,913,860,53,0.941949616648412,ALL CANCERS TWO WEEK WAIT,2020-10-01
08G,NHS HILLINGDON CCG,ALL SUSPECTED CANCER,840,795,45,0.946428571428571,ALL CANCERS TWO WEEK WAIT,2020-10-01
07Y,NHS HOUNSLOW CCG,ALL SUSPECTED CANCER,713,683,30,0.957924263674614,ALL CANCERS TWO WEEK WAIT,2020-10-01
03F,NHS HULL CCG,ALL SUSPECTED CANCER,810,663,147,0.818518518518519,ALL CANCERS TWO WEEK WAIT,2020-10-01
06L,NHS IPSWICH AND EAST SUFFOLK CCG,ALL SUSPECTED CANCER,1560,1403,157,0.899358974358974,ALL CANCERS TWO WEEK WAIT,2020-10-01
10L,NHS ISLE OF WIGHT CCG,ALL SUSPECTED CANCER,503,479,24,0.952286282306163,ALL CANCERS TWO WEEK WAIT,2020-10-01
91Q,NHS KENT AND MEDWAY CCG,ALL SUSPECTED CANCER,7246,7016,230,0.968258349434171,ALL CANCERS TWO WEEK WAIT,2020-10-01
11N,NHS KERNOW CCG,ALL SUSPECTED CANCER,2511,2357,154,0.938669852648347,ALL CANCERS TWO WEEK WAIT,2020-10-01
01J,NHS KNOWSLEY CCG,ALL SUSPECTED CANCER,662,616,46,0.930513595166163,ALL CANCERS TWO WEEK WAIT,2020-10-01
15F,NHS LEEDS CCG,ALL SUSPECTED CANCER,3095,2338,757,0.755411954765751,ALL CANCERS TWO WEEK WAIT,2020-10-01
04C,NHS LEICESTER CITY CCG,ALL SUSPECTED CANCER,992,914,78,0.921370967741935,ALL CANCERS TWO WEEK WAIT,2020-10-01
71E,NHS LINCOLNSHIRE CCG,ALL SUSPECTED CANCER,2984,2450,534,0.821045576407507,ALL CANCERS TWO WEEK WAIT,2020-10-01
99A,NHS LIVERPOOL CCG,ALL SUSPECTED CANCER,1840,1715,125,0.932065217391304,ALL CANCERS TWO WEEK WAIT,2020-10-01
06P,NHS LUTON CCG,ALL SUSPECTED CANCER,515,448,67,0.869902912621359,ALL CANCERS TWO WEEK WAIT,2020-10-01
14L,NHS MANCHESTER CCG,ALL SUSPECTED CANCER,2185,1770,415,0.810068649885583,ALL CANCERS TWO WEEK WAIT,2020-10-01
06Q,NHS MID ESSEX CCG,ALL SUSPECTED CANCER,1549,1423,126,,ALL CANCERS TWO WEEK WAIT,2020-10-01
04F,NHS MILTON KEYNES CCG,ALL SUSPECTED CANCER,885,732,153,0.827118644067797,ALL CANCERS TWO WEEK WAIT,2020-10-01
01K,NHS MORECAMBE BAY CCG,ALL SUSPECTED CANCER,1219,727,492,0.596390484003281,ALL CANCERS TWO WEEK WAIT,2020-10-01
13T,NHS NEWCASTLE GATESHEAD CCG,ALL SUSPECTED CANCER,1653,1047,606,0.633393829401089,ALL CANCERS TWO WEEK WAIT,2020-10-01
08M,NHS NEWHAM CCG,ALL SUSPECTED CANCER,842,806,36,0.957244655581948,ALL CANCERS TWO WEEK WAIT,2020-10-01
26A,NHS NORFOLK AND WAVENEY CCG,ALL SUSPECTED CANCER,3804,3375,429,0.887223974763407,ALL CANCERS TWO WEEK WAIT,2020-10-01
93C,NHS NORTH CENTRAL LONDON CCG,ALL SUSPECTED CANCER,5635,4582,1053,0.813132209405501,ALL CANCERS TWO WEEK WAIT,2020-10-01
01H,NHS NORTH CUMBRIA CCG,ALL SUSPECTED CANCER,1340,1099,241,0.820149253731343,ALL CANCERS TWO WEEK WAIT,2020-10-01
06T,NHS NORTH EAST ESSEX CCG,ALL SUSPECTED CANCER,1391,1268,123,0.91157440690151,ALL CANCERS TWO WEEK WAIT,2020-10-01
99M,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,ALL SUSPECTED CANCER,549,478,71,0.870673952641166,ALL CANCERS TWO WEEK WAIT,2020-10-01
03H,NHS NORTH EAST LINCOLNSHIRE CCG,ALL SUSPECTED CANCER,422,406,16,0.962085308056872,ALL CANCERS TWO WEEK WAIT,2020-10-01
10J,NHS NORTH HAMPSHIRE CCG,ALL SUSPECTED CANCER,718,650,68,,ALL CANCERS TWO WEEK WAIT,2020-10-01
03J,NHS NORTH KIRKLEES CCG,ALL SUSPECTED CANCER,728,701,27,0.962912087912088,ALL CANCERS TWO WEEK WAIT,2020-10-01
03K,NHS NORTH LINCOLNSHIRE CCG,ALL SUSPECTED CANCER,515,489,26,0.949514563106796,ALL CANCERS TWO WEEK WAIT,2020-10-01
05G,NHS NORTH STAFFORDSHIRE CCG,ALL SUSPECTED CANCER,936,892,44,0.952991452991453,ALL CANCERS TWO WEEK WAIT,2020-10-01
99C,NHS NORTH TYNESIDE CCG,ALL SUSPECTED CANCER,914,680,234,0.74398249452954,ALL CANCERS TWO WEEK WAIT,2020-10-01
42D,NHS NORTH YORKSHIRE CCG,ALL SUSPECTED CANCER,1522,1339,183,0.879763469119579,ALL CANCERS TWO WEEK WAIT,2020-10-01
78H,NHS NORTHAMPTONSHIRE CCG,ALL SUSPECTED CANCER,2312,2219,93,,ALL CANCERS TWO WEEK WAIT,2020-10-01
00L,NHS NORTHUMBERLAND CCG,ALL SUSPECTED CANCER,1293,989,304,0.764887857695282,ALL CANCERS TWO WEEK WAIT,2020-10-01
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,ALL SUSPECTED CANCER,3476,3307,169,0.951380897583429,ALL CANCERS TWO WEEK WAIT,2020-10-01
00Y,NHS OLDHAM CCG,ALL SUSPECTED CANCER,771,744,27,0.964980544747082,ALL CANCERS TWO WEEK WAIT,2020-10-01
10Q,NHS OXFORDSHIRE CCG,ALL SUSPECTED CANCER,2089,1712,377,0.819530876017233,ALL CANCERS TWO WEEK WAIT,2020-10-01
10R,NHS PORTSMOUTH CCG,ALL SUSPECTED CANCER,580,561,19,0.967241379310345,ALL CANCERS TWO WEEK WAIT,2020-10-01
08N,NHS REDBRIDGE CCG,ALL SUSPECTED CANCER,895,859,36,0.959776536312849,ALL CANCERS TWO WEEK WAIT,2020-10-01
03L,NHS ROTHERHAM CCG,ALL SUSPECTED CANCER,816,796,20,0.975490196078431,ALL CANCERS TWO WEEK WAIT,2020-10-01
01G,NHS SALFORD CCG,ALL SUSPECTED CANCER,875,793,82,0.906285714285714,ALL CANCERS TWO WEEK WAIT,2020-10-01
05L,NHS SANDWELL AND WEST BIRMINGHAM CCG,ALL SUSPECTED CANCER,1584,1413,171,0.892045454545455,ALL CANCERS TWO WEEK WAIT,2020-10-01
03N,NHS SHEFFIELD CCG,ALL SUSPECTED CANCER,1610,1569,41,0.974534161490683,ALL CANCERS TWO WEEK WAIT,2020-10-01
05N,NHS SHROPSHIRE CCG,ALL SUSPECTED CANCER,1302,1166,136,0.895545314900154,ALL CANCERS TWO WEEK WAIT,2020-10-01
11X,NHS SOMERSET CCG,ALL SUSPECTED CANCER,2179,1808,371,0.829738412115649,ALL CANCERS TWO WEEK WAIT,2020-10-01
72Q,NHS SOUTH EAST LONDON CCG,ALL SUSPECTED CANCER,7196,6316,880,0.877709838799333,ALL CANCERS TWO WEEK WAIT,2020-10-01
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,ALL SUSPECTED CANCER,749,606,143,0.809078771695594,ALL CANCERS TWO WEEK WAIT,2020-10-01
10V,NHS SOUTH EASTERN HAMPSHIRE CCG,ALL SUSPECTED CANCER,697,668,29,0.958393113342898,ALL CANCERS TWO WEEK WAIT,2020-10-01
01T,NHS SOUTH SEFTON CCG,ALL SUSPECTED CANCER,722,680,42,0.941828254847645,ALL CANCERS TWO WEEK WAIT,2020-10-01
00N,NHS SOUTH TYNESIDE CCG,ALL SUSPECTED CANCER,639,473,166,0.740219092331768,ALL CANCERS TWO WEEK WAIT,2020-10-01
05R,NHS SOUTH WARWICKSHIRE CCG,ALL SUSPECTED CANCER,1099,863,236,0.7852593266606,ALL CANCERS TWO WEEK WAIT,2020-10-01
36L,NHS SOUTH WEST LONDON CCG,ALL SUSPECTED CANCER,4897,4716,181,0.963038595058199,ALL CANCERS TWO WEEK WAIT,2020-10-01
10X,NHS SOUTHAMPTON CCG,ALL SUSPECTED CANCER,769,692,77,0.899869960988297,ALL CANCERS TWO WEEK WAIT,2020-10-01
99G,NHS SOUTHEND CCG,ALL SUSPECTED CANCER,691,608,83,,ALL CANCERS TWO WEEK WAIT,2020-10-01
01V,NHS SOUTHPORT AND FORMBY CCG,ALL SUSPECTED CANCER,586,497,89,0.848122866894198,ALL CANCERS TWO WEEK WAIT,2020-10-01
01X,NHS ST HELENS CCG,ALL SUSPECTED CANCER,827,776,51,0.938331318016929,ALL CANCERS TWO WEEK WAIT,2020-10-01
05V,NHS STAFFORD AND SURROUNDS CCG,ALL SUSPECTED CANCER,700,656,44,0.937142857142857,ALL CANCERS TWO WEEK WAIT,2020-10-01
01W,NHS STOCKPORT CCG,ALL SUSPECTED CANCER,1267,966,301,0.762430939226519,ALL CANCERS TWO WEEK WAIT,2020-10-01
05W,NHS STOKE ON TRENT CCG,ALL SUSPECTED CANCER,1137,1072,65,0.94283201407212,ALL CANCERS TWO WEEK WAIT,2020-10-01
00P,NHS SUNDERLAND CCG,ALL SUSPECTED CANCER,1128,985,143,0.87322695035461,ALL CANCERS TWO WEEK WAIT,2020-10-01
92A,NHS SURREY HEARTLANDS CCG,ALL SUSPECTED CANCER,3920,3680,240,0.938775510204082,ALL CANCERS TWO WEEK WAIT,2020-10-01
10C,NHS SURREY HEATH CCG,ALL SUSPECTED CANCER,266,240,26,0.902255639097744,ALL CANCERS TWO WEEK WAIT,2020-10-01
01Y,NHS TAMESIDE AND GLOSSOP CCG,ALL SUSPECTED CANCER,1026,972,54,0.947368421052632,ALL CANCERS TWO WEEK WAIT,2020-10-01
16C,NHS TEES VALLEY CCG,ALL SUSPECTED CANCER,2230,1730,500,0.775784753363229,ALL CANCERS TWO WEEK WAIT,2020-10-01
05X,NHS TELFORD AND WREKIN CCG,ALL SUSPECTED CANCER,676,587,89,0.868343195266272,ALL CANCERS TWO WEEK WAIT,2020-10-01
07G,NHS THURROCK CCG,ALL SUSPECTED CANCER,586,568,18,,ALL CANCERS TWO WEEK WAIT,2020-10-01
08V,NHS TOWER HAMLETS CCG,ALL SUSPECTED CANCER,796,768,28,0.964824120603015,ALL CANCERS TWO WEEK WAIT,2020-10-01
02A,NHS TRAFFORD CCG,ALL SUSPECTED CANCER,941,669,272,0.710945802337938,ALL CANCERS TWO WEEK WAIT,2020-10-01
03Q,NHS VALE OF YORK CCG,ALL SUSPECTED CANCER,1062,995,67,0.936911487758945,ALL CANCERS TWO WEEK WAIT,2020-10-01
03R,NHS WAKEFIELD CCG,ALL SUSPECTED CANCER,1597,1562,35,0.978083907326237,ALL CANCERS TWO WEEK WAIT,2020-10-01
05Y,NHS WALSALL CCG,ALL SUSPECTED CANCER,883,722,161,0.81766704416761,ALL CANCERS TWO WEEK WAIT,2020-10-01
08W,NHS WALTHAM FOREST CCG,ALL SUSPECTED CANCER,940,875,65,0.930851063829787,ALL CANCERS TWO WEEK WAIT,2020-10-01
02E,NHS WARRINGTON CCG,ALL SUSPECTED CANCER,913,849,64,,ALL CANCERS TWO WEEK WAIT,2020-10-01
05H,NHS WARWICKSHIRE NORTH CCG,ALL SUSPECTED CANCER,667,551,116,0.826086956521739,ALL CANCERS TWO WEEK WAIT,2020-10-01
07H,NHS WEST ESSEX CCG,ALL SUSPECTED CANCER,1269,1064,205,0.838455476753349,ALL CANCERS TWO WEEK WAIT,2020-10-01
11A,NHS WEST HAMPSHIRE CCG,ALL SUSPECTED CANCER,2212,1885,327,,ALL CANCERS TWO WEEK WAIT,2020-10-01
02G,NHS WEST LANCASHIRE CCG,ALL SUSPECTED CANCER,455,412,43,0.905494505494505,ALL CANCERS TWO WEEK WAIT,2020-10-01
04V,NHS WEST LEICESTERSHIRE CCG,ALL SUSPECTED CANCER,1294,1146,148,0.885625965996909,ALL CANCERS TWO WEEK WAIT,2020-10-01
08Y,NHS WEST LONDON CCG,ALL SUSPECTED CANCER,707,677,30,0.957567185289958,ALL CANCERS TWO WEEK WAIT,2020-10-01
07K,NHS WEST SUFFOLK CCG,ALL SUSPECTED CANCER,776,589,187,0.759020618556701,ALL CANCERS TWO WEEK WAIT,2020-10-01
70F,NHS WEST SUSSEX CCG,ALL SUSPECTED CANCER,3441,2998,443,0.871258355129323,ALL CANCERS TWO WEEK WAIT,2020-10-01
02H,NHS WIGAN BOROUGH CCG,ALL SUSPECTED CANCER,1279,1119,160,0.874902267396403,ALL CANCERS TWO WEEK WAIT,2020-10-01
12F,NHS WIRRAL CCG,ALL SUSPECTED CANCER,1363,1290,73,0.946441672780631,ALL CANCERS TWO WEEK WAIT,2020-10-01
06A,NHS WOLVERHAMPTON CCG,ALL SUSPECTED CANCER,799,749,50,0.937421777221527,ALL CANCERS TWO WEEK WAIT,2020-10-01
UNKNOWN,UNKNOWN,ALL SUSPECTED CANCER,690,563,127,0.815942028985507,ALL CANCERS TWO WEEK WAIT,2020-10-01
13Q,NATIONAL COMMISSIONING HUB 1,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,5,3,2,0.6,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
07L,NHS BARKING AND DAGENHAM CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,5,5,0,1,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
02P,NHS BARNSLEY CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,107,103,4,0.962616822429907,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
99E,NHS BASILDON AND BRENTWOOD CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,2,0,2,,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
02Q,NHS BASSETLAW CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,18,10,8,,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",Exhibited (non-cancer) breast symptoms - cancer not initially suspected,72,69,3,0.958333333333333,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
06F,NHS BEDFORDSHIRE CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,75,50,25,0.666666666666667,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
15A,NHS BERKSHIRE WEST CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,99,95,4,0.95959595959596,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
15E,NHS BIRMINGHAM AND SOLIHULL CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,190,24,166,0.126315789473684,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
00Q,NHS BLACKBURN WITH DARWEN CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,55,55,0,,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
00R,NHS BLACKPOOL CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,62,61,1,0.983870967741935,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
00T,NHS BOLTON CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,77,20,57,0.25974025974026,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,92,88,4,0.956521739130435,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
07P,NHS BRENT CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,76,74,2,0.973684210526316,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
09D,NHS BRIGHTON AND HOVE CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,83,79,4,0.951807228915663,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",Exhibited (non-cancer) breast symptoms - cancer not initially suspected,98,85,13,0.86734693877551,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
14Y,NHS BUCKINGHAMSHIRE CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,15,14,1,0.933333333333333,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
00V,NHS BURY CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,38,23,15,0.605263157894737,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
02T,NHS CALDERDALE CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,63,62,1,0.984126984126984,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,119,105,14,0.882352941176471,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
04Y,NHS CANNOCK CHASE CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,24,14,10,0.583333333333333,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
99F,NHS CASTLE POINT AND ROCHFORD CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,31,31,0,,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
09A,NHS CENTRAL LONDON (WESTMINSTER) CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,52,51,1,0.980769230769231,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
27D,NHS CHESHIRE CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,115,100,15,0.869565217391304,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,Exhibited (non-cancer) breast symptoms - cancer not initially suspected,38,29,9,0.763157894736842,TWO WEEK WAIT-EXHIBITED BREAST SYMPTOMS (CANCER NOT INITIALLY SUSPECTED),2020-10-01
